event_id,user_id,song_id,event_type,ts,device,region
bbf32908-1239-4d3f-aaf1-b4ed0728331b,588152,12348,play,2025-08-24T02:22:30.587989,mac,us
5a6f4785-ecc9-41a2-aca1-a17b826562fa,967198,8774,pause,2025-08-24T11:49:04.587989,ios,us
8321220a-d58a-4d03-b27e-c805ab4ed0fb,544991,32390,play,2025-08-23T23:59:51.587989,ios,us
59b02d00-337f-4824-a207-c9fe2da8bb85,993758,78268,play,2025-08-24T07:56:04.587989,ios,eu
01388c15-7cec-409b-8d8e-d2797260f8ee,300868,22901,pause,2025-08-24T10:13:59.587989,mac,eu
c143c12b-5e11-45c3-a235-2f46303a2e6f,249499,1121,play,2025-08-24T00:52:50.587989,web,us
36d00b85-cf77-4431-b12e-fc083681d364,249930,4355,play,2025-08-23T22:23:26.587989,web,us
cc47854b-e106-4bd2-a182-9aa924e2a933,334612,93317,stop,2025-08-23T17:59:15.587989,web,us
70561af8-201d-43eb-a6e3-f6a3d99c17c6,269330,79280,play,2025-08-24T10:36:27.587989,ios,apac
9f2309b6-6e4d-4c35-8b74-1f664b15fc5f,700905,6895,play,2025-08-24T03:53:57.587989,mac,eu
f9855bf8-9d2c-4d14-a85d-4cb81c1ecb38,681349,80738,pause,2025-08-23T18:49:26.587989,web,us
549e36f1-46a0-4c4d-a0b3-bbd7842b4e35,237195,78816,play,2025-08-23T12:50:09.587989,web,us
2eb92cee-c4bf-4b3d-bb1e-bc751b8b7194,194302,54952,play,2025-08-23T22:06:08.587989,mac,apac
52e49c1a-ebc4-4078-b3fe-2cca70b87c5b,325142,2625,play,2025-08-23T20:36:09.587989,web,us
fe5b08eb-4d8f-48fe-8f10-be8f0c92f58c,889653,30302,play,2025-08-23T16:43:26.587989,ios,eu
d78f3beb-86b9-48b6-b979-0dddb857eb71,163784,93335,play,2025-08-23T22:15:54.587989,mac,eu
628a85b3-dc5d-4ef6-bd83-fb20db69eb9b,842042,76345,play,2025-08-23T16:04:40.587989,mac,us
a0cdab8f-223d-4735-887b-244ec5c989c2,873448,27178,play,2025-08-23T21:06:47.587989,mac,apac
dec15ed8-e29d-4eb2-adf3-0b9a1642f072,988444,88247,pause,2025-08-23T15:06:01.587989,web,eu
b4d7fc4c-0375-4756-b00d-bbcb61e928ea,416714,56320,play,2025-08-23T13:47:55.587989,mac,eu
f4a08a63-4f7f-458e-be5e-d9b09dea4901,125140,89327,play,2025-08-24T08:06:33.587989,ios,eu
ce49313c-0a01-470e-accd-0b2810715921,451643,20877,pause,2025-08-23T22:45:27.587989,ios,apac
d3c278c0-0c32-4cf2-b0b8-2a9da84e3667,533721,83792,stop,2025-08-23T23:39:45.587989,web,apac
ea2b8fbf-eba4-48fd-8f38-8a4f6e301c2e,477688,89327,pause,2025-08-24T08:28:12.587989,ios,us
daccd05d-eac6-45b0-8ed4-07c68ad62be2,290908,87199,pause,2025-08-24T09:54:27.587989,ios,us
7ee30ddb-dfe9-4663-9669-073f03a9c2c1,728139,91371,stop,2025-08-24T12:23:05.587989,mac,eu
0b68d92d-2142-4ae9-b9a2-d900b69bf755,334612,83792,play,2025-08-23T17:24:45.587989,web,eu
8e2103ff-6bb8-4859-966c-43bd1697ff5d,602968,98032,pause,2025-08-23T16:21:05.587989,mac,us
f76da1f7-dfe2-474b-9876-c318808f8113,255795,15450,stop,2025-08-23T12:43:57.587989,web,eu
